"POVINN","UCIT"
NFUF837,"11617"
NGEO096,"13396"
NMFP407,"12382"
NBCM176,"11441"
NDMI012,"12117"
NFPL209,"12478"
NFPL209,"29535"
NMSA600,"11888"
NFPL250,"28321"
NMMB551,"50002"
NOFY075,"10731"
NGEO111,"13396"
NJAZ054,"11412"
NDMI056,"12117"
NEVF101,"11431"
NEVF102,"11793"
NEVF113,"19759"
NBCM182,"25006"
NBCM183,"13733"
NBCM238,"16400"
NBCM240,"19204"
NBCM308,"11979"
NBCM322,"11621"
NEVF119,"13116"
NEVF134,"18635"
NEVF150,"12945"
NEVF166,"11387"
NOFY024,"18016"
NEVF175,"58133"
NEVF508,"11706"
NAFY019,"23022"
NAFY023,"11616"
NMMA706,"12944"
NEVF537,"11706"
NFOE004,"25006"
NFPL003,"11304"
NFPL012,"12706"
NFPL023,"11347"
NFPL023,"11370"
NFPL023,"11757"
NFPL030,"11337"
NFPL056,"11589"
NAIL013,"11328"
NAIL105,"74603"
NAST011,"11393"
NJAZ072,"88357"
NMMA410,"12428"
NMMA122,"19716"
NOFY018,"11471"
NOFY066,"12591"
NEVF518,"11607"
NSWI158,"98887"
NAFY101,"11078"
NAFY101,"11438"
NAFY101,"20678"
NBCM103,"13761"
NMAI054,"11115"
NSCI004,"18412"
NMIN112,"24426"
NMSA202,"68652"
NTIN086,"54923"
NBCM177,"11490"
NMAG261,"38463"
NMSA334,"11345"
NOFY066,"11408"
NDMI064,"12426"
NMSA332,"24142"
NMAT362,"38463"
NMMB532,"11172"
NPFL068,"45589"
NPFL068,"12975"
NPRG064,"10732"
NPRG065,"11288"
NPRG045,"12418"
NSZZ502,"20791"
NMAI058,"13014"
NPFL124,"11275"
NFPL217,"13368"
NOFY018,"11747"
NPRG045,"11272"
NFPL085,"11323"
NMST711,"11521"
NOFY089,"11510"
NMSA170,"89594"
NMTD406,"16457"
NSWI170,"66889"
NSWI054,"12088"
NSWI177,"17077"
NFUF503,"11846"
NOFY085,"12988"
NAIL134,"80246"
NMNM336,"97188"
NMET009,"43788"
NMET009,"13635"
NOFY125,"11536"
NOFY011,"12945"
NOFY130,"11591"
NOFY130,"10864"
NOFY130,"12481"
NBCM241,"12411"
NFUF402,"11849"
NMAG450,"65702"
NMTM102,"83601"
NEVF191,"12367"
NTVY003,"73760"
NPGR036,"98090"
NJAZ099,"68968"
NMTD102,"20791"
NMTM104,"12947"
NMTM204,"10728"
NDMI025,"23828"
NMTM332,"17787"
NOFY028,"12704"
NMUG312,"10728"
NMUG410,"10728"
NMUM602,"11765"
NSZZ501,"17187"
NOFY125,"11854"
NSZZ501,"17787"
NAIL124,"11108"
NOFY084,"11727"
NMFP436,"75569"
NOOE012,"13761"
NTMF063,"11143"
NOOE016,"25211"
NOOE119,"11304"
NOOE119,"12411"
NOOE129,"15147"
NOPT057,"12426"
NOPT058,"11103"
NPFL141,"12725"
NPGR019,"20680"
NPGR026,"67236"
NPGR027,"16878"
NFUF836,"43520"
NMTM310,"11664"
NPRG045,"12986"
NPRG045,"10963"
NPRG045,"11103"
NPRG045,"10734"
NPRG045,"88106"
NPRG045,"22187"
NPRG045,"12531"
NPRG066,"11207"
NPRG076,"12087"
NSWI090,"24712"
NSWI144,"19441"
NBCM243,"16238"
NTIN060,"12418"
NSZZ010,"17187"
NTIN064,"12441"
NFOE001,"11589"
NTIN094,"12705"
NOOE035,"11410"
NTMF032,"11003"
NTMF044,"11854"
NTMF044,"28321"
NTVY015,"70151"
NTVY017,"11877"
NFOE013,"13310"
NUIN017,"11845"
NMST532,"12436"
NFUF105,"14073"
NFPL028,"10863"
NOFY028,"11510"
NDMI013,"71852"
NEVF192,"12367"
NMAI059,"76957"
NOFY086,"13227"
NFUF103,"12284"
NMMB402,"12345"
NFPL188,"10850"
NMAG206,"38463"
NEVF550,"11706"
NPGR038,"54720"
NOFY130,"18359"
NSWI170,"65502"
NPFL140,"43541"
NOFY021,"13310"
NTMF060,"49403"
NOFY075,"11854"
NEVF123,"17642"
NPRG045,"67236"
NMMO536,"12308"
NMMA622,"10997"
NMFM338,"11380"
NTMF038,"49031"
NMAT362,"12631"
NFOE012,"11783"
NPRG045,"82351"
NFUF404,"11570"
NMMA263,"16543"
NMAG164,"11494"
NMAG164,"67053"
NOFY151,"11512"
NMST438,"11554"
NTIN061,"12418"
NTIN102,"11354"
NPRG041,"11618"
NFUF302,"17184"
NMTM405,"11765"
NMAG499,"77928"
NMTP539,"12711"
NMAG162,"11896"
NMAI057,"13014"
NMIN111,"11573"
NOFY028,"11977"
NFPL124,"11723"
NFPL124,"17076"
NFPL146,"11408"
NBCM094,"11620"
NEVF505,"11431"
NFPL146,"11757"
NOFY151,"96507"
NMMA261,"16543"
NFPL211,"11408"
NOFY071,"25211"
NTIN061,"11103"
NJAZ090,"78657"
NDMI012,"92597"
NBCM039,"25101"
NMNV451,"11668"
NMNV451,"62138"
NMMA405,"12495"
NMFP466,"12365"
NMFM207,"12354"
NMST570,"13321"
NBCM029,"21455"
NBCM029,"16238"
NTIN085,"11063"
NOFY163,"16478"
NEVF136,"13116"
NEVF163,"16652"
NEVF174,"58133"
NEVF502,"17641"
NEVF503,"11747"
NEVF506,"11431"
NEVF514,"34276"
NFOE016,"13179"
NFOE018,"13179"
NFOE024,"25101"
NFPL011,"11635"
NFPL019,"12837"
NMEK412,"11888"
NMEK450,"11784"
NMEK606,"11138"
NFPL135,"11524"
NFPL037,"11337"
NFPL059,"13439"
NFPL061,"28321"
NFPL078,"11543"
NFPL086,"63854"
NFPL088,"76971"
NFPL093,"11438"
NFPL096,"12965"
NFPL098,"11757"
NFPL098,"12704"
NFPL113,"37329"
NFPL129,"11438"
NFPL133,"11337"
NFPL143,"11323"
NJSF085,"13104"
NJSF126,"12511"
NJSF140,"37918"
NJSF150,"12374"
NFPL145,"12704"
NFPL174,"14073"
NFPL196,"18385"
NFPL201,"11078"
NFPL202,"24737"
NFPL203,"11476"
NFPL252,"11543"
NFPL304,"12836"
NMEK615,"11345"
NMET024,"13359"
NMNV412,"11827"
NFPL550,"11536"
NFPL800,"37919"
NFPL801,"11337"
NFUF802,"11570"
NGEO002,"11525"
NGEO083,"12364"
NGEO100,"11400"
NGEO110,"11861"
NJAZ051,"11412"
NJAZ099,"92813"
NJSF043,"11839"
NJSF056,"12432"
NJSF081,"11260"
NJSF102,"12379"
NJSF122,"11825"
NJSF131,"11453"
NJSF151,"12347"
NJSF160,"24303"
NMAF013,"12811"
NMAG465,"11469"
NDMI092,"11286"
NMMO402,"12850"
NMMO461,"11502"
NMMO461,"11836"
NMMO564,"11112"
NMNM334,"11500"
NMNV462,"11638"
NMNV532,"11563"
NMAG577,"21159"
NMAG581,"16395"
NMAG583,"37386"
NMAI055,"12486"
NMAI067,"11266"
NMAI073,"10734"
NDMI106,"37173"
NMET070,"13359"
NMET075,"11073"
NMET526,"12811"
NJAZ174,"10853"
NOFY024,"19759"
NFUF203,"13298"
NMET061,"13635"
NMET064,"12960"
NMFM204,"11888"
NMMA102,"11560"
NMMA404,"12357"
NDMI098,"80619"
NMMA431,"12944"
NMMA452,"10997"
NMMA458,"11560"
NMMA573,"12970"
NMMB473,"50002"
NMMO541,"13217"
NMMO567,"75779"
NMMO599,"11563"
NJAZ070,"88357"
NMSA202,"12632"
NMSA202,"67135"
NJAZ111,"58753"
NJSF192,"12347"
NMTD511,"17187"
NMTM205,"11765"
NMTM463,"91130"
NMTM511,"16457"
NMAF001,"11383"
NOFY023,"11483"
NOFY055,"11078"
NOFY056,"13227"
NOFY077,"11260"
NMMA436,"11574"
NMSA230,"11927"
NMMA586,"79147"
NOFY021,"12591"
NOOE007,"11397"
NOOE017,"11620"
NOOE025,"20021"
NOOE046,"12706"
NOOE124,"12246"
NMAI058,"10752"
NPFL012,"12442"
NPFL101,"10876"
NAFY003,"12704"
NAFY027,"20021"
NAFY084,"11438"
NAFY084,"11926"
NAIL002,"11328"
NAIL025,"11309"
NAIL025,"14650"
NAIL078,"12948"
NAIL087,"16394"
NAIL101,"12755"
NAIL102,"24426"
NAIL109,"11309"
NAIL116,"11328"
NAIL127,"27504"
NPGR001,"74126"
NPGR003,"11804"
NPRG030,"64406"
NPRG041,"44325"
NPRG045,"13027"
NPRG045,"70580"
NPRG045,"79287"
NPRG045,"32286"
NAST017,"13307"
NAST023,"11982"
NAST026,"43520"
NBCM014,"11621"
NBCM072,"12448"
NBCM083,"12435"
NBCM095,"11979"
NPRG070,"13027"
NPRG071,"10854"
NSCI030,"63390"
NSWI150,"11278"
NSWI201,"12579"
NTIN040,"11791"
NMAI059,"78699"
NTIN073,"12441"
NTIN091,"11103"
NTIN103,"32286"
NTIN106,"11103"
NMAI073,"92597"
NBCM116,"12388"
NBCM131,"10823"
NBCM139,"17076"
NBCM142,"11593"
NBCM144,"10733"
NBCM155,"10731"
NPRG045,"81948"
NBCM165,"12411"
NBCM181,"11621"
NBCM187,"11621"
NBCM211,"11838"
NBCM214,"11724"
NBCM217,"11593"
NBCM239,"19204"
NBCM316,"11621"
NBCM317,"11176"
NBCM320,"11441"
NBCM320,"11488"
NBCM324,"13761"
NCGD007,"54720"
NSCI050,"11064"
NTMF021,"11924"
NTMF043,"28321"
NTMF047,"12363"
NTVY006,"70151"
NTVY014,"11077"
NTVY014,"11671"
NTVY016,"11152"
NZZZ276,"11115"
NDFY064,"17184"
NDGF002,"13396"
NDGF007,"11225"
NDGF027,"12320"
NDGF029,"12798"
NDGF029,"13396"
NDGF031,"11525"
NDIN011,"11433"
NDMI050,"12406"
NDMI116,"10945"
NPGR036,"62433"
NPGR036,"68764"
NOFY002,"12454"
NMMA101,"96551"
NDMI011,"82348"
NPRG035,"97996"
NAST042,"11585"
NBCM087,"11775"
NPRG062,"12406"
NFPL137,"11553"
