"POVINN","REQTYP","REQPOVINN"
NJSF095,N,NJSF061
NJSF095,N,NOFY046
NJSF095,N,NTMF067
NJSF095,Z,NTMF067
NLTM002,N,NAIL050
NLTM002,Z,NAIL050
NLTM003,N,NMAG575
NLTM003,Z,NMAG575
NLTM006,N,NAIL062
NLTM006,Z,NMAG331
NLTM017,N,NAIL003
NLTM017,N,NUMP016
NMAA068,Z,NMAA069
NMAA068,Z,NMAA070
NMAF012,N,NALG001
NMAF012,N,NALG002
NMAF012,N,NALG003
NMAF012,N,NMAF027
NMAF012,N,NMAF028
NMAF012,N,NMAI043
NMAF012,N,NMAI044
NMAF012,N,NMAI045
NMAF012,N,NMUE024
NMAF012,N,NMUE025
NMAF012,N,NUMP003
NMAF012,N,NUMP004
NMAF012,Z,NALG001
NMAF012,Z,NALG002
NMAF012,Z,NALG003
NMAF012,Z,NALG004
NMAF012,Z,NMAF027
NMAF012,Z,NMAF028
NMAF012,Z,NMAI043
NMAF012,Z,NMAI044
NMAF012,Z,NMAI045
NMAF012,Z,NMUE025
NMAF012,Z,NUMP004
NMAF015,K,NMET008
NMAF015,Z,NMAF045
NMAF015,Z,NMAF046
NMAI010,K,NMAI016
NMAI010,N,NSTP097
NMAI031,K,NMAI019
NMAI031,N,NALG012
NMAI031,N,NALG103
NMAI031,Z,NALG012
NMAI031,Z,NALG103
NMAI046,N,NMAA001
NMAI046,N,NMAA007
NMAI046,N,NMAF033
NMAI046,N,NMAI008
NMAI046,N,NUMP001
NMAI046,Z,NMAA001
NMAI046,Z,NMAA007
NMAI046,Z,NMAF033
NMAI046,Z,NMAI008
NMAI046,Z,NUMP001
NMAI047,K,NMAI046
NMAI047,N,NMAA002
NMAI047,N,NMAA008
NMAI047,N,NMAF034
NMAI047,N,NMAI009
NMAI047,N,NUMP002
NMAI047,Z,NMAA002
NMAI047,Z,NMAA008
NMAI047,Z,NMAF034
NMAI047,Z,NMAI009
NMAI047,Z,NUMP002
NMAN007,N,NEKN012
NMAN007,Z,NEKN012
NMAN007,Z,NMSA336
NMAT039,Z,NMAT018
NMAT039,Z,NMMA335
NMET010,N,NXXX003
NMET023,N,NMET074
NMET023,Z,NMET074
NMET031,N,NXXX003
NMOD009,K,N#MS060
NMOD009,P,N#MS061
NMOD009,P,N#MS062
NMOD009,Z,NMFM310
NMUE011,Z,NUMP008
NMUE021,N,NPRG030
NMUE021,N,NPRM044
NMUE022,N,NAFY008
NMUE022,N,NDGE024
NMUE022,N,NMIN101
NMUE022,N,NMUG103
NMUE022,N,NOFY056
NMUE022,N,NPRF026
NMUE022,N,NPRG030
NMUE022,N,NPRM044
NMUE023,N,NUMP016
NMUE023,Z,NUMP016
NNUM002,N,NMNV405
NNUM002,N,NNUM015
NNUM002,Z,NMNV405
NNUM002,Z,NNUM015
NNUM009,Z,NMNM211
NNUM009,Z,NNUM105
NNUM019,K,NNUM018
NNUM019,Z,NMNV404
NNUM064,Z,NMNV623
NOFY008,Z,NOFY067
NOFY008,Z,NOFY068
NOFY024,P,NOFY066
NOFY025,N,NOFY125
NOFY025,N,NXXX005
NOFY025,N,NXXX006
NOFY025,Z,NOFX025
NOFY025,Z,NOFY125
NOFY027,K,NOFY003
NOFY027,N,NXXX005
NOFY027,N,NXXX006
NOFY027,N,NOFY127
NOFY027,Z,NOFY127
NOFY028,P,NOFY066
NOFY040,N,NBCM071
NOFY040,N,NEVF032
NOFY040,Z,NBCM071
NOFY040,Z,NEVF032
NOFY041,N,NOFY004
NOFY041,Z,NOFY004
NOFY042,N,NFPL010
NOFY042,N,NOFY075
NOFY042,N,NOFY076
NOFY042,N,NUFY031
NOFY042,Z,NFPL010
NOFY042,Z,NUFY031
NOOE004,N,NBCM113
NOOE006,P,NFPL001
NOOE014,N,NOOE015
NOOE014,Z,NOOE015
NOOE015,Z,NOOE014
NOOE021,K,NOFY022
NOOE021,P,NOFY018
NOOE028,K,NOOE027
NOPT013,N,NEKN009
NOPT013,Z,NEKN009
NOPT016,N,NXXX007
NOPT016,N,NXXX008
NOPT016,N,NXXX009
NOPT018,N,NXXX007
NOPT018,N,NXXX008
NOPT018,N,NXXX009
NOPT042,N,NOPX042
NOPT042,N,NXXX007
NOPT042,N,NXXX008
NOPT042,N,NXXX009
NOPT042,N,NXXX038
NOPT042,N,NXXX039
NOPT042,N,NXXX040
NOPT042,N,NXXX067
NOPT042,N,NXXX069
NOPT042,Z,NOPX042
NPED009,P,NPED008
NPED010,Z,NPED029
NPED010,Z,NPED030
NPED012,Z,NPED031
NPED012,Z,NPED032
NPFL021,P,NPFL008
NPFL031,K,NPFL002
NPGR001,N,NPGR040
NPGR001,Z,NPGR040
NPGR002,N,NXXX010
NPGR002,N,NXXX014
NPGR002,N,NXXX016
NPGR002,N,NXXX017
NPGR002,N,NXXX022
NPGR002,N,NXXX023
NPGR002,N,NXXX024
NPGR002,N,NXXX025
NPGR002,N,NXXX026
NPGR002,N,NXXX030
NPGR002,N,NXXX031
NPGR002,N,NXXX047
NPGR002,N,NXXX049
NPGR002,N,NXXX050
NPGR010,N,NXXX010
NPGR010,N,NXXX019
NPGR010,N,NXXX020
NPGR010,N,NXXX021
NPGR010,N,NXXX026
NPGR011,N,NMAI025
NPRG005,N,NXXX015
NPRG005,N,NXXX022
NPRG005,N,NXXX023
NPRG005,N,NXXX024
NPRG005,N,NXXX025
NPRG005,N,NXXX030
NPRG005,N,NXXX031
NPRG005,N,NXXX033
NPRG005,N,NXXX065
NPRG005,N,NPRX005
NPRG005,Z,NPRX005
NPRG008,N,NHII032
NPRG012,P,NPRG004
NPRG012,Z,NPRG029
NPRG017,P,NSWI120
NPRG020,K,NPRG012
NPRG020,N,NPRG032
NPRG020,Z,NPRG032
NPRG021,K,NPRG013
NPRG021,N,NXXX014
NPRG021,N,NXXX016
NPRG021,N,NXXX017
NPRG021,N,NXXX022
NPRG021,N,NXXX023
NPRG021,N,NXXX024
NPRG021,N,NXXX025
NPRG021,N,NXXX030
NPRG021,N,NXXX031
NPRG021,N,NPRX021
NPRG021,Z,NPRX021
NSTP007,Z,NMST537
NSTP021,Z,NMST431
NSTP023,N,NSTP024
NSTP023,N,NSTP141
NSTP118,Z,NMTP545
NSTP134,Z,NMEK615
NSTP135,Z,NMSA601
NSWI003,N,NSWI097
NSWI003,Z,NSWI097
NSWI048,N,NSWI015
NSWI049,P,NDBI025
NSWI050,K,NSWI049
NSWI061,P,NSWI065
NSWI070,P,NSWI035
NSWI074,P,NSWI097
NTIN012,K,NTIN014
NTIN013,N,NTIN071
NTIN013,Z,NTIN071
NTIN020,K,NTIN016
NTIN022,N,NXXX007
NTIN022,N,NXXX008
NTIN022,N,NXXX009
NTIN022,N,NXXX036
NTIN022,N,NXXX037
NTIN022,N,NXXX051
NTIN022,N,NXXX052
NTIN022,N,NXXX053
NTIN023,P,NTIN062
NTIN032,P,NTIN023
NTIN041,K,NTIN040
NTIN045,K,NTIN040
NTIN045,K,NTIN041
NTMF001,P,NBCM067
NTMF002,Z,NBCM067
NTMF003,Z,NJSF040
NTMF003,Z,NTMF043
NTMF003,Z,NTMF044
NTMF006,K,NTMF037
NTMF010,Z,NTMF005
NTMF010,Z,NTMF007
NTMF018,K,NTMF017
NTMF032,K,NTMF031
NTMF038,K,NTMF037
NTMF043,N,NOFY031
NTMF043,Z,NOFY031
NUFY020,N,NFUF501
NUFY020,Z,NFUF501
NUFY027,Z,NUFY081
NUFY027,Z,NUFY092
NUFY035,P,NUFY031
NUFY044,Z,NUFY108
NUFY044,Z,NUFY111
NUFY054,Z,NFUF807
NUFY060,Z,NUFY109
NUFY060,Z,NUFY112
NUFY061,P,NUFY062
NUIN002,Z,NTIN013
NUIN002,Z,NTIN071
NUIN003,Z,NPRG029
NUIN005,N,NSWI003
NUIN005,Z,NSWI097
NUIN010,Z,NDBI002
NUIN010,Z,NDBI025
NUMP003,N,NALG001
NUMP003,N,NALG002
NUMP003,N,NMAI057
NUMP003,N,NMAI058
NUMP003,Z,NALG001
NUMP003,Z,NMUE024
NUMP003,Z,NMUM103
NUMP004,N,NALG002
NUMP004,N,NALG086
NUMP004,N,NMAI058
NUMP004,Z,NALG002
NUMP004,Z,NMUE025
NUMP004,Z,NMUM104
NUMP007,N,NALG026
NUMP007,N,NALG027
NUMP007,N,NMAI019
NUMP007,N,NMUE004
NUMP007,Z,NALG027
NUMP007,Z,NMUE004
NUMP008,N,NMUM208
NUMP008,Z,NMUM208
NUMV017,K,NUMP007
NUMV017,N,NUMV013
NUMV017,N,NUMV014
NUMV018,K,NUMP007
NUMV018,N,NUMV013
NUMV018,N,NUMV014
NALG074,K,NALG015
NBCM100,N,NBCX100
NBCM100,N,NXXX002
NBCM100,N,NXXX004
NBCM100,Z,NBCX100
NDFY031,N,NFUF306
NDFY031,Z,NFUF306
NDFY032,N,NFUF404
NDFY032,Z,NFUF404
NDFY033,N,NFUF407
NDFY033,Z,NFUF407
NDFY038,N,NFUF902
NDFY038,Z,NFUF902
NGEO069,P,NGEO111
NLTM030,N,NAIL063
NMAN011,N,NZZZ067
NMAN011,Z,NZZZ067
NNUM121,K,NNUM021
NNUM121,Z,NMNV534
NSTP144,K,NSTP050
NSTP144,Z,NMSA333
NSTP145,K,NSTP051
NSTP145,Z,NMSA405
NSTP148,Z,NMTP611
NSTP149,Z,NMTP432
NAIL025,N,NXXX038
NAIL025,N,NXXX039
NAIL025,N,NXXX040
NAIL025,N,NXXX067
NAIL025,N,NXXX069
NAIL026,P,NAIL002
NAIL027,K,NAIL002
NALG014,P,NALG013
NALG026,P,N#AL300
NALG026,Z,NALG034
NALG026,Z,NALG087
NALG026,Z,NMAG201
NALG026,Z,NMAI062
NALG063,N,NSWI069
NALG063,Z,NSWI069
NBCM042,K,NBCM041
NBCM042,P,NFPL011
NBCM071,N,NEVF032
NBCM071,Z,NEVF032
NDBI004,N,NDBI012
NDBI004,P,NDBI025
NDBI010,N,NDBI043
NDBI010,Z,NDBI043
NDBI012,N,NDBI004
NDBI015,P,NDBI002
NDMI021,P,NDMI002
NDMI021,P,NDMI011
NDMI026,Z,N#IA018
NEKN025,K,NEKN041
NGEM009,K,NGEM008
NGEM032,Z,NMAG465
NGEM033,Z,NMAG465
NJAZ056,K,NJAZ055
NJAZ057,P,NJAZ056
NJAZ059,K,NJAZ058
NJAZ060,P,NJAZ059
NJAZ062,K,NJAZ061
NJAZ063,P,NJAZ062
NJAZ065,K,NJAZ064
NJAZ066,P,NJAZ065
NMAA038,Z,NGEM002
NMAI016,N,NSTP022
NMAI016,N,NUMP013
NMAI016,Z,NMAI060
NMAI016,Z,NSTP022
NMAI016,Z,NUMP013
NMAI022,K,NMAI021
NNUM043,K,NNUM042
NOOE049,P,NOOE021
NOPT008,N,NXXX007
NOPT008,N,NXXX008
NOPT008,N,NXXX009
NOPT020,P,NOPT016
NOPT020,P,NOPT018
NPFL028,P,NPFL012
NPFL029,P,NPFL026
NPFL030,P,NPFL012
NPRG013,N,NXXX022
NPRG013,N,NXXX023
NPRG013,N,NXXX024
NPRG013,N,NXXX025
NPRG013,N,NXXX030
NPRG013,N,NXXX031
NPRG013,N,NXXX033
NPRG013,N,NXXX065
NPRG013,N,NPRX013
NPRG013,N,NPRX013
NPRG013,N,NXXX022
NPRG013,N,NXXX023
NPRG013,N,NXXX024
NPRG013,N,NXXX025
NPRG013,N,NXXX030
NPRG013,N,NXXX031
NPRG013,N,NXXX033
NPRG013,N,NXXX065
NPRG013,P,NPRG031
NPRG013,Z,NPRX013
NPRG013,Z,NPRX013
NPRM009,N,NINF001
NPRM009,N,NSWI008
NSTP012,N,NSTP013
NSTP012,Z,N#MS035
NSTP022,K,NMAA069
NSTP022,N,N#MS037
NSTP022,N,NMAI059
NSTP022,N,NSTP014
NSTP022,N,NSTP070
NSTP022,N,NSTP177
NSTP022,P,N#AA300
NSTP022,Z,NMSA202
NSTP126,K,N#MS052
NSTP126,N,NSTP196
NSTP126,P,N#MS049
NSTP126,P,N#MS051
NSTP126,Z,N#MS046
NSTP139,Z,NMTP539
NSWI051,K,NSWI044
NSWI053,P,NPRG032
NSWI064,P,NSWI021
NSWI071,K,NSWI089
NSWI073,K,NSWI021
NSWI073,K,NSWI045
NTIN039,P,NTIN076
NUMV045,K,NUMV015
NUMZ007,K,NUMZ006
NUMZ008,N,NSTP064
NUOS002,N,NSTP004
NUOS002,Z,NSTP004
NALG071,P,NALG027
NALG072,K,NALG071
NALG072,P,NALG027
NPRG024,K,N#IA023
NALG077,Z,NMAG531
NALG078,P,NALG027
NALG080,Z,NMMB551
NDBI021,N,NXXX010
NDBI021,N,NXXX026
NDBI021,N,NXXX027
NDBI021,N,NXXX028
NDBI021,N,NXXX029
NDBI021,N,NXXX032
NDBI021,N,NXXX068
NDBI022,P,NDBI025
NEKN027,Z,NMEK603
NEKN028,Z,NMEK603
NEKN029,Z,NMEK611
NEKN031,Z,NMEK613
NEKN032,Z,NMEK613
NEVF510,Z,NEVF521
NEVF510,Z,NEVF527
NEVF511,Z,NEVF522
NEVF511,Z,NEVF528
NEVF512,Z,NEVF523
NEVF512,Z,NEVF529
NEVF513,Z,NEVF524
NEVF513,Z,NEVF530
NFAP036,Z,NMFM615
NFAP037,Z,NMFM616
NFAP040,Z,NMFM601
NFAP041,Z,NMFM601
NSTP151,Z,NMST605
NSTP152,Z,NMST605
NSTP153,N,NMTP432
NSTP153,N,NSTP149
NSTP153,Z,NMTP432
NSTP153,Z,NSTP149
NSTP154,K,NSTP005
NSTP154,Z,NMST543
NSTP155,Z,NMTP613
NSTP156,Z,NMTP614
NSTP157,Z,NMTP537
NSWI080,N,NXXX010
NSWI080,N,NXXX026
NSWI080,N,NXXX027
NSWI080,N,NXXX028
NSWI080,N,NXXX029
NSWI080,N,NXXX032
NSWI080,N,NXXX034
NSWI080,N,NXXX035
NSWI080,N,NXXX068
NSWI083,P,NSWI071
NBCM074,P,NBCM035
NOOE044,P,NOOE021
NALG083,Z,NMAG444
NFAP042,Z,NMFM537
NMAI052,K,NMAI043
NMAI052,K,NMAI044
NMAI053,K,NMAI043
NMAI053,K,NMAI044
NMAI053,K,NMAI052
NPFL049,P,NDMI011
NPFL049,P,NPRG005
NPFL049,P,NTIN013
NPGR013,K,NPGR002
NSTP160,Z,NMTP576
NSWI086,K,NPRG012
NAST029,P,NAST006
NAST029,P,NAST007
NDMA002,N,NDMI012
NDMA002,N,NDMI032
NDMA002,Z,NDMI012
NDMA002,Z,NDMI032
NHIF002,N,NHIF070
NHIF002,N,NHIF080
NHIF002,N,NUFY011
NHIF002,N,NUFY012
NHIF002,N,NUFY025
NHIF002,N,NUFY063
NHIF002,Z,NUFY025
NHIF002,Z,NUFY063
NHIF029,N,NHII010
NHIF029,N,NHIM137
NHIF029,N,NHIU036
NHIF029,N,NHIU103
NHIF029,N,NPRF026
NHIF029,N,NPRF027
NHIF029,N,NPRG004
NHIF029,N,NPRM001
NHIF029,N,NPRM018
NHIF029,N,NUMZ001
NHIF029,Z,NHII010
NHIF029,Z,NHIU103
NHIF029,Z,NPRF026
NHIF029,Z,NPRF027
NHIF029,Z,NPRG004
NHIF029,Z,NPRM018
NHIF029,Z,NUMZ001
NHII059,N,NAIL023
NHII059,Z,NAIL023
NHII083,Z,NOPT032
NINF001,N,NSWI065
NINF001,Z,NSWI065
NLTM008,N,NAIL012
NLTM008,Z,NAIL012
NMAA020,Z,NMAA021
NMAA020,Z,NMAA033
NMAI017,N,NMAI042
NMAI017,Z,NMAI042
NMET022,Z,NMET023
NPOZ012,N,NLTM027
NPOZ012,Z,NLTM027
NPOZ013,N,NLTM027
NPOZ013,Z,NLTM027
NPRM018,N,NPRM001
NPRM018,Z,NHIF029
NPRM018,Z,NHIU083
NPRM018,Z,NPRF027
NPRM018,Z,NPRG004
NPRM026,N,NPRM001
NRFA009,Z,NRFA006
NSWI069,N,NALG063
NSWI069,Z,NALG063
NSZI013,Z,NSZI015
NSZM006,N,NSZM038
NAIL060,N,NXXX038
NAIL060,N,NXXX039
NAIL060,N,NXXX040
NAIL060,N,NXXX067
NAIL060,N,NXXX069
NAIL061,K,NAIL028
NAIL062,N,NXXX015
NAIL062,N,NXXX022
NAIL062,N,NXXX023
NAIL062,N,NXXX024
NAIL062,N,NXXX025
NAIL062,N,NXXX030
NAIL062,N,NXXX031
NAIL062,N,NXXX033
NAIL062,N,NAIX062
NAIL062,Z,NAIX062
NAIL063,N,NLTM030
NAIL063,N,NMIN160
NAIL063,Z,NMIN160
NAIL065,N,NXXX038
NAIL065,N,NXXX039
NAIL065,N,NXXX040
NAIL065,N,NXXX067
NAIL065,N,NXXX069
NALG086,N,NMAI057
NALG086,N,NMAI058
NALG086,Z,NALG002
NALG087,Z,NALG026
NALG087,Z,NALG034
NALG087,Z,NMAI062
NALG090,K,NALG087
NALG090,Z,NMAG303
NBCM113,Z,NBCM177
NDBI023,N,NXXX027
NDBI023,N,NXXX028
NDBI023,N,NXXX029
NDBI023,N,NXXX032
NDBI023,N,NXXX038
NDBI023,N,NXXX039
NDBI023,N,NXXX040
NDBI023,N,NXXX067
NDBI023,N,NXXX068
NDBI023,N,NXXX069
NDBI025,N,NXXX015
NDBI025,N,NXXX022
NDBI025,N,NXXX023
NDBI025,N,NXXX024
NDBI025,N,NXXX025
NDBI025,N,NXXX030
NDBI025,N,NXXX031
NDBI025,N,NXXX033
NDBI025,N,NXXX065
NDBI025,N,NDBX025
NDBI025,Z,NDBX025
NDBI026,P,NDBI025
NDFY041,Z,NDFY051
NDFY041,Z,NDFY053
NDFY043,N,NFUF403
NDFY043,Z,NFUF403
NDFY044,N,NFUF502
NDFY044,Z,NFUF502
NDFY045,N,NFUF402
NDFY045,Z,NFUF402
NDFY046,N,NFUF406
NDFY046,Z,NFUF406
NDIN010,Z,NDIN014
NDIN011,N,NDIX011
NDIN011,Z,NDIX011
NDIR020,N,NMMA333
NDIR020,Z,NMMA333
NEKN035,K,NEKN012
NEKN035,Z,NMSA403
NEKN036,K,NEKN026
NEKN036,Z,NMEK532
NEVF119,N,NEVF170
NEVF119,Z,NEVF170
NEVF133,Z,NEVF151
NEVF133,Z,NEVF154
NEVF135,Z,NOFY086
NEVF142,Z,NEVF152
NEVF142,Z,NEVF153
NEVF519,Z,NEVF525
NEVF519,Z,NEVF531
NEVF520,Z,NEVF526
NEVF520,Z,NEVF532
NFAP044,K,NFAP035
NFAP044,Z,NMFM431
NFPL182,Z,NFPL001
NGEO081,P,NGEO076
NMAA069,P,N#AA303
NMAA069,Z,NMMA203
NMAA070,P,N#AA303
NMAA070,Z,NMMA203
NMAA071,N,NMAA001
NMAA071,N,NMAF033
NMAA071,N,NMAI008
NMAA071,N,NUMP001
NMAA071,Z,NMAA001
NMAA071,Z,NMMA111
NMAA072,Z,NMAA002
NMAA072,Z,NMMA112
NMAA073,N,NMAA003
NMAA073,P,N#AA304
NMAA073,Z,NMMA211
NMAA074,N,NMAA004
NMAA074,P,N#AA303
NMAA074,Z,NMMA212
NMAF042,Z,NMAF061
NMAF043,Z,NMAF062
NMAI055,N,NMAX055
NMAI055,Z,NMAX055
NMAI056,K,NMAI054
NMAI056,N,NXXX014
NMAI056,N,NXXX015
NMAI056,N,NXXX016
NMAI056,N,NXXX017
NMAI056,N,NXXX022
NMAI056,N,NXXX023
NMAI056,N,NXXX024
NMAI056,N,NXXX025
NMAI056,N,NXXX033
NMAI056,N,NMAX056
NMAI056,Z,NMAX056
NMAI059,N,NXXX015
NMAI059,N,NXXX022
NMAI059,N,NXXX023
NMAI059,N,NXXX024
NMAI059,N,NXXX025
NMAI059,N,NXXX030
NMAI059,N,NXXX031
NMAI059,N,NXXX033
NMAI059,N,NXXX041
NMAI059,N,NXXX043
NMAI059,N,NXXX044
NMAI059,N,NMAX059
NMAI059,Z,NMAX059
NMAI062,N,NALG026
NMAI062,N,NXXX015
NMAI062,N,NXXX022
NMAI062,N,NXXX023
NMAI062,N,NXXX024
NMAI062,N,NXXX025
NMAI062,N,NXXX030
NMAI062,N,NXXX031
NMAI062,N,NXXX033
NMAI062,N,NMAX062
NMAI062,Z,NMAX062
NMAI063,K,NMAI062
NMAI063,N,NXXX014
NMAI063,N,NXXX015
NMAI063,N,NXXX016
NMAI063,N,NXXX017
NMAI063,N,NXXX033
NMAI063,N,NALG027
NMAI063,N,NMAI076
NMAI063,N,NMAX063
NMAI063,N,NXXX014
NMAI063,N,NXXX015
NMAI063,N,NXXX016
NMAI063,N,NXXX017
NMAI063,N,NXXX033
NMAI063,Z,NMAI076
NMAI063,Z,NMAX063
NMAI064,N,NXXX007
NMAI064,N,NXXX008
NMAI064,N,NXXX009
NMIB001,Z,NMMB206
NMIB003,Z,NMMB204
NMIB005,Z,NMMB305
NMIB006,Z,NMMB301
NMIB007,K,NMIB006
NMIB007,Z,NMMB302
NMIB008,Z,NMMB303
NMIB009,Z,NMMB532
NMIB010,N,NMMB462
NMIB010,Z,NMMB462
NMIB011,Z,NMMB404
NMIB014,Z,NMMB402
NMIB015,Z,NMMB538
NMIB016,Z,NMMB501
NMIB019,K,NMIB004
NMIB020,P,NALG087
NNUM105,N,NNUM009
NNUM105,P,N#MP117
NNUM105,Z,NMNM201
NOPT046,N,NXXX014
NOPT046,N,NXXX015
NOPT046,N,NXXX016
NOPT046,N,NXXX017
NOPT046,N,NXXX022
NOPT046,N,NXXX023
NOPT046,N,NXXX024
NOPT046,N,NXXX025
NOPT046,N,NXXX033
NOPT046,N,NOPX046
NOPT046,Z,NOPX046
NPED024,Z,NPED033
NPED025,Z,NPED031
NPED025,Z,NPED032
NPED026,Z,NPED027
NPED026,Z,NPED028
NPFL057,K,NPFL056
NPGR015,N,NMAI025
NPGR015,N,NPGR011
NPGR015,Z,NPGR011
NPRG029,Z,NPRG041
NPRG030,K,NPRG062
NPRG030,N,NXXX015
NPRG030,N,NXXX022
NPRG030,N,NXXX023
NPRG030,N,NXXX024
NPRG030,N,NXXX025
NPRG030,N,NXXX030
NPRG030,N,NXXX031
NPRG030,N,NXXX033
NPRG030,N,NXXX065
NPRG030,N,NMIN101
NPRG030,N,NMIN111
NPRG030,N,NPRX030
NPRG030,N,NXXX015
NPRG030,N,NXXX022
NPRG030,N,NXXX023
NPRG030,N,NXXX024
NPRG030,N,NXXX025
NPRG030,N,NXXX030
NPRG030,N,NXXX031
NPRG030,N,NXXX033
NPRG030,N,NXXX065
NPRG030,Z,NPRX030
NPRG031,K,NPRG030
NPRG032,P,NPRG029
NPRG033,N,NPRG045
NPRG033,Z,NPRG045
NPRG034,K,NPRG033
NPRG034,N,NPRG045
NPRG034,Z,NPRG046
NSTP163,Z,NMTP532
NSTP164,K,NSTP013
NSTP164,Z,NMST541
NSTP165,K,NSTP007
NSTP165,Z,NMST537
NSTP166,K,NSTP027
NSTP166,Z,NMST438
NSTP167,K,NSTP141
NSTP168,K,NSTP149
NSTP168,Z,NMTP432
NSTP169,K,NSTP133
NSTP169,Z,NMTP565
NSTP170,K,NSTP142
NSWI087,Z,NSWI120
NSWI088,P,NSWI097
NSWI092,P,NSWI120
NSWI093,K,NSWI045
NSWI095,N,NXXX015
NSWI095,N,NXXX022
NSWI095,N,NXXX023
NSWI095,N,NXXX024
NSWI095,N,NXXX025
NSWI095,N,NXXX030
NSWI095,N,NXXX031
NSWI095,N,NXXX033
NSWI095,N,NXXX065
NSWI095,Z,NSWI177
NSWI097,Z,NSWI120
NSWI098,P,NTIN071
NSZZ026,N,NSZZ031
NSZZ026,Z,NSZZ031
NTIN061,N,NXXX015
NTIN061,N,NXXX022
NTIN061,N,NXXX023
NTIN061,N,NXXX024
NTIN061,N,NXXX025
NTIN061,N,NXXX030
NTIN061,N,NXXX031
NTIN061,N,NXXX033
NTIN061,N,NXXX065
NTIN061,N,NTIX061
NTIN061,Z,NTIX061
NTIN062,Z,NTIN090
NTIN063,K,NTIN062
NTIN063,N,NXXX007
NTIN063,N,NXXX008
NTIN063,N,NXXX009
NTIN063,N,NXXX036
NTIN063,N,NXXX037
NTIN064,P,NTIN090
NTIN065,K,NTIN064
NTIN066,N,NTIX066
NTIN066,Z,NTIX066
NTIN067,K,NTIN066
NTIN071,N,NXXX015
NTIN071,N,NXXX022
NTIN071,N,NXXX023
NTIN071,N,NXXX024
NTIN071,N,NXXX025
NTIN071,N,NXXX030
NTIN071,N,NXXX031
NTIN071,N,NXXX033
NTIN071,N,NXXX065
NTIN071,N,NTIX071
NTIN071,Z,NTIX071
NUFY080,Z,NFUF101
NUFY081,N,NUFY027
NUFY081,Z,NFUF804
NUFY081,Z,NUFY027
NUFY082,Z,NFUF303
NUFY083,Z,NFUF806
NUFY087,Z,NUFY105
NUFY087,Z,NUFY106
NUFY088,Z,NUFY076
NUFY092,Z,NFUF106
NUFY094,N,NFUF302
NUFY094,Z,NFUF302
NUFY095,Z,NUFY076
NUFY096,Z,NFUF205
NUFY097,N,NFUF304
NUFY097,Z,NFUF304
NUFY099,N,NUFY999
NUFY099,Z,NUFY999
NUFY100,N,NFUF204
NUFY100,Z,NFUF204
NUFY101,Z,NFUF103
NUFY102,Z,NFUF201
NUFY103,N,NFUF301
NUFY103,Z,NFUF301
NUFY104,N,NFUF401
NUFY104,Z,NFUF401
NUFZ007,Z,NUFZ018
NUFZ007,Z,NUFZ019
NUFZ008,Z,NUFZ020
NUFZ008,Z,NUFZ021
NUIN015,N,NUIN009
NUIN015,Z,NUIN009
NUIN016,N,NUIN009
NUIN016,Z,NUIN009
NUMP019,Z,NALG034
NUMP019,Z,NALG087
NUMP019,Z,NMAI062
NUMP019,Z,NMUE033
NUMP019,Z,NMUM206
NUMP019,Z,NUMZ010
NUMP019,N,NALG026
NUMP019,N,NALG027
NUMP019,N,NALG034
NUMP019,N,NALG087
NUMP019,N,NMAI062
NUMP019,N,NMUE033
NUMP019,N,NMUM206
NUMP019,N,NUMZ010
NUMP019,Z,NALG026
NUMP019,Z,NALG027
NUMP020,N,NALG027
NUMP020,N,NMAI063
NUMP020,N,NMUM501
NUMP020,Z,NALG027
NUMP020,Z,NMUM501
NDIR021,Z,NMMA407
NDIR045,Z,NMMA405
NMIB004,Z,NMMB304
NMIB013,Z,NMAG436
NMIB017,Z,NMMB437
NMOD038,Z,NMNV627
NRFA050,Z,NMMA401
NZZZ278,Z,MS710S11A
NZZZ279,Z,MS710S11B
NAIL068,N,NXXX019
NAIL068,N,NXXX020
NAIL068,N,NXXX021
NAIL068,N,NXXX038
NAIL068,N,NXXX039
NAIL068,N,NXXX040
NAIL068,N,NXXX067
NAIL068,N,NXXX069
NALG103,Z,NMAG405
NALG104,P,NALG103
NALG104,Z,NMAG450
NBCM122,N,NXXX002
NBCM122,N,NXXX004
NDFY050,N,NDFY001
NDFY050,Z,NDFY001
NDGE023,N,NMUG302
NDGE023,Z,NMUG302
NDIN013,Z,NDIN015
NDIR057,Z,NMMO402
NDIR139,N,NDIR039
NDIR239,K,NDIR139
NDIR239,N,NDIR039
NDMI065,N,NXXX007
NDMI065,N,NXXX008
NDMI065,N,NXXX009
NEVF091,N,NEVF078
NEVF091,Z,NEVF078
NEVF092,N,NEVF078
NEVF092,Z,NEVF078
NEVF093,N,NEVF079
NEVF093,Z,NEVF079
NEVF094,N,NEVF079
NEVF094,Z,NEVF079
NEVF521,N,NEVF510
NEVF521,Z,NEVF510
NEVF522,N,NEVF511
NEVF522,Z,NEVF511
NEVF528,N,NEVF511
NEVF528,Z,NEVF511
NGEO087,P,NGEO086
NMAI065,P,NMAI064
NMIB021,Z,NMMB452
NMOD101,Z,NMNV537
NMOD105,Z,NMNV541
NMOD201,Z,NMNV538
NMOD205,Z,NMNV542
NMUE032,K,NMUE012
NMUE032,N,N#MS006
NMUE032,N,N#MS050
NMUE032,N,NMAI059
NMUE032,N,NSTP014
