"POVINN","REQTYP","REQPOVINN"
NJSF039,Z,NTMF044
NJSF040,N,NOFY036
NJSF040,Z,NTMF043
NJSF040,Z,NTMF044
NJSF044,K,NJSF043
NJSF045,Z,NJSF107
NJSF045,Z,NJSF108
NJSF052,P,NOFY039
NJSF053,P,NOFY039
NJSF058,P,NJSF064
NJSF076,K,NJSF065
NJSF098,K,NJSF062
NJSF098,N,NJSF069
NJSF098,Z,NJSF069
NMAA001,N,NMAA071
NMAA001,N,NMAF033
NMAA001,N,NMAI008
NMAA001,N,NUMP001
NMAA001,Z,NHIU076
NMAA001,Z,NMAA071
NMAA001,Z,NMAF033
NMAA001,Z,NMAI008
NMAA001,Z,NMMA101
NMAA001,Z,NUMP001
NMAA002,N,NMAA007
NMAA002,N,NMAA008
NMAA002,Z,NHIU076
NMAA002,Z,NMAF034
NMAA002,Z,NMMA102
NMAA002,Z,NUMP002
NMAA003,N,NHII088
NMAA003,N,NHIU035
NMAA003,N,NHIU062
NMAA003,N,NHIU085
NMAA003,N,NMUE007
NMAA003,N,NUMP005
NMAA003,N,NUMP012
NMAA003,P,N#AA300
NMAA003,Z,NMMA201
NMAA004,N,NHII088
NMAA004,N,NHII089
NMAA004,N,NHIU035
NMAA004,N,NHIU062
NMAA004,N,NHIU085
NMAA004,N,NMUE007
NMAA004,N,NMUE008
NMAA004,N,NUMP005
NMAA004,N,NUMP012
NMAA004,P,N#AA300
NMAA004,Z,NMMA202
NMAA007,N,NMAA001
NMAA007,N,NMAA002
NMAA007,N,NMAF009
NMAA007,N,NMAF010
NMAA007,N,NMAF033
NMAA007,N,NMAF034
NMAA007,N,NMAI008
NMAA007,N,NMAI009
NMAA007,N,NUMP001
NMAA007,N,NUMP002
NMAA008,K,NMAA007
NMAA008,N,NMAA001
NMAA008,N,NMAA002
NMAA008,N,NMAF009
NMAA008,N,NMAF010
NMAA008,N,NMAF033
NMAA008,N,NMAF034
NMAA008,N,NMAI008
NMAA008,N,NMAI009
NMAA008,N,NUMP001
NMAA008,N,NUMP002
NMAA016,Z,NMMA338
NMAA019,K,NMAA018
NMAA019,P,NMAA007
NMAA019,P,NMAA008
NMAA021,P,N#AA301
NMAA021,P,N#AA302
NMAA021,Z,NMAA020
NMAA021,Z,NMAA033
NMAA021,Z,NMMA301
NMAA039,Z,NMAG461
NMAA067,N,NMAA015
NMAA067,Z,NMMA408
NMAF003,N,NMAA003
NMAF003,N,NMAA004
NMAF003,N,NMAI049
NMAF003,N,NMAI050
NMAF003,N,NUMP005
NMAF003,N,NUMP006
NMAF003,P,NMAF033
