"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"52066","32-UTIAAV","11320",Jiroušek,Radim,prof.,DrSc.
"18385","32-KFM","11320",Veselý,Jozef,Mgr.,Ph.D.
"18387","32-UCJF","11320",Malý,Libor,,
"14446","32-KA","11320",Budiš,Petr,Ing.,Ph.D.
"16280","32-KPMS","11320",Kotík,Lukáš,RNDr.,Ph.D.
"15383","32-#EXT","11320",Lykhach,Yaroslava,Mgr.,Ph.D.
"15577","32-AUUK","11320",Dovčiak,Michal,RNDr.,Ph.D.
"15578","32-FZUAV","11320",Gregora,Ivan,Ing.,CSc.
"16179","32-#EXT","11320",Baldwin,Timothy,Prof.,Ph.D.
"16238","32-KMF","11320",Holubec,Viktor,RNDr.,Ph.D.
"16590","32-KTV","11320",Kozák,Martin,Mgr.,
"16159","32-#EXT","11320",Díaz,Josep,Prof.,
"16161","32-#EXT","11320",Cummings,James,Prof.,
"15450","32-#EXT","11320",Richardson,Derek,Dr.,Ph.D.
"14003","32-#EXT","11320",Hartkopf,William,Dr.,
"16490","32-#EXT","11320",Doležal,Martin,RNDr.,Ph.D.
"16631","32-STUD","11320",Nekvinda,Aleš,doc. RNDr.,CSc.
"16644","32-CVUT","11320",Ganev,Nikolaj,prof. Ing.,CSc.
"16645","32-FZUAV","11320",Čerňanský,Marian,Ing.,CSc.
"13467","32-KSVI","11320",Lukavský,Jiří,doc. Mgr.,Ph.D.
"16190","32-#EXT","11320",Šikula,Josef,Prof. RNDr.,DrSc.
"17203","32-KSI","11320",Drbohlav,Ondřej,Ing.,Dr.
"17222","32-KFA","11320",Pecha,Petr,CSc.,Ing.
"17312","32-KG","11320",Hrubcová,Pavla,RNDr.,Ph.D.
"16172","32-FZUAV","11320",Šaroun,Jan,RNDr.,CSc.
"16457","32-KDM","11320",Moravcová,Vlasta,RNDr.,Ph.D.
"16837","32-KFPP","11320",Roučka,Štěpán,doc. RNDr.,Ph.D.
"14100","32-#EXT","11320",Schacht,Mathias,Dr.,
"16138","32-#EXT","11320",Mas,André,Profesor,
"61980","32-FUUK","11320",Jurkiewicz,Piotr Michal,Mgr.,Ph.D.
"17588","32-CVUT","11320",Burda,Pavel,Prof. RNDr.,CSc.
"17662","32-KTIML","11320",Kukačka,Marek,RNDr. Mgr.,
"16686","32-#EXT","11320",Philips,Jon,Prof.,
"16694","32-#EXT","11320",Antoš,Jaroslav,RNDr.,CSc.
"18279","32-#EXT","11320",Pallin,Dominique,Doctor,
"18281","32-SISAL","11320",Vašut,Marek,Mgr.,
"18282","32-SISAL","11320",Magic,Ľuboš,Mgr.,
"17072","32-KDSS","11320",Libič,Peter,Mgr.,Ph.D.
"17075","32-KSI","11320",Urbánek,Vít,Mgr.,
"17076","32-KMF","11320",Kylián,Ondřej,doc. RNDr.,Ph.D.
"17125","32-FEL","11320",Matas,Jiří,prof. Ing.,Ph.D.
"17152","32-KTIML","11320",Toropila,Daniel,RNDr.,Ph.D.
"17162","32-#EXT","11320",Habibi,Sakineh,,
"17848","32-#EXT","11320",Dvorský,Jiří,doc. Mgr.,Ph.D.
"17856","32-#EXT","11320",Barilla,Jiří,Ing. Mgr.,CSc.
"17857","32-#EXT","11320",Judas,Libor,,
"17860","32-KTV","11320",Brabec,Jiří,Mgr.,
"18283","32-SISAL","11320",Kunčar,Jiří,Mgr.,
"13681","32-#EXT","11320",Lednický,František,,
"17240","32-#EXT","11320",Healy,Jonathan,Prof.,
"17242","32-KTIML","11320",Hart,Klaas-Pieter,Prof.,
"17315","32-#PRX","11320",Křivan,Vlastimil,,
"17379","32-KPMS","11320",Pleška,Martin,Mgr.,
"17380","32-KPMS","11320",Krafferová,Helga,Mgr.,
"18341","32-#EXT","11320",Bonhomme,Gerard,Prof.,
"18359","32-UCJF","11320",Pleskot,Vojtěch,Mgr.,Ph.D.
"11891","32-FUUK","11320",Malínský,Jan,doc. RNDr.,Ph.D.
"17311","32-#EXT","11320",Skoviera,Martin,Prof.,Ph.D.
