"PLAN_CODE","PLAN_YEAR","CODE","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIPVS19B,"2020",NPRX043,NPRG043,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0010",,,,
NIPVS19B,"2020",NPRX051,NPRG051,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0001",,,,
NIPVS19B,"2020",NPRX056,NPRG056,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0009",,,,
NIPVS19B,"2020",NSWE002,NSWI162,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0020",,,,
NIPVS19B,"2020",NSWI004,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0002",,,,
NIPVS19B,"2020",NSWI041,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0009",,,,
NIPVS19B,"2020",NSWI090,,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0006",,,,
NIPVS19B,"2020",NSWI095,NSWI177,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0010",,,,
NIPVS19B,"2020",NSWI098,,"84",B,6,Povinně volitelné předměty IPVS Bc. skupina IV.,,"02/010/0001",,,,
NIPVS19B,"2020",NSWI120,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0003",,,,
NIPVS19B,"2020",NSWI130,,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0005",,,,
NIPVS19B,"2020",NSWI141,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0004",,,,
NIPVS19B,"2020",NSWI142,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0006",,,,
NIPVS19B,"2020",NSWI143,,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0002",,,,
NIPVS19B,"2020",NSWI153,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0007",,,,
NIPVS19B,"2020",NSWI154,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0007",,,,
NIPVS19B,"2020",NSWI162,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0020",,,,
NIPVS19B,"2020",NSWI163,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0021",,,,
NIPVS19B,"2020",NSWI170,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0009",,,,
NIPVS19B,"2020",NSWI177,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0010",,,,
NIPVS19B,"2020",NSWX004,NSWI004,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0002",,,,
NIPVS19B,"2020",NSWX142,NSWI142,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0006",,,,
NIPVS19B,"2020",NSWX153,NSWI153,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0007",,,,
NIPVS19B,"2020",NSZZ026,NSZZ031,"6241",A,,Bakalářská práce,,"02/001/0001",,,,
NIPVS19B,"2020",NSZZ031,,"6241",A,,Bakalářská práce,,"02/001/0001",,,,
NIPVS19B,"2020",NTIN060,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0007",,,,
NIPVS19B,"2020",NTIN061,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIPVS19B,"2020",NTIN071,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIPVS19B,"2020",NTIX061,NTIN061,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIPVS19B,"2020",NTIX071,NTIN071,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIPVS19B,"2020",NTVY014,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0001",,,,
NIPVS19B,"2020",NTVY015,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0002",,,,
NIPVS19B,"2020",NTVY016,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0003",,,,
NIPVS19B,"2020",NTVY017,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0004",,,,
NIPVS19B,"2020",NTVY018,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0006",,,,
NIPVS19B,"2020",NTVY019,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0005",,,,
NISD23N,"2023",N#IA022,NTIN090,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
NISD23N,"2023",NDBI001,NDBI049,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0003",,,,
NISD23N,"2023",NDBI006,NDBI050,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0004",,,,
NISD23N,"2023",NDBI016,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0005",,,,
