"SIDENT","SOIDENT","SFAK","SFAK2","SDRUH","SFST","SOBOR","SDSTUPR","SSTAV","SDSTAV","SROC","SPLAN"
672200,795215,"11320",,B,D,IPP2,2020-09-09 00:00:00.000,A,2023-06-29 00:00:00.000,3,NIPVS19B
790139,795215,"11320",,N,D,ISDP,2023-09-04 00:00:00.000,S,2024-06-30 00:00:00.000,2,NISD23N
