"POVINN","JAZYK","PLATIOD","PLATIDO"
NMNV536,ENG,"2016","9999"
NMNV538,ENG,"2016","9999"
NMNV539,ENG,"2018","9999"
NMNV540,ENG,"2016","2020"
NMNV541,ENG,"2017","9999"
NMNV542,ENG,"2017","9999"
NMNV543,CZE,"2019","2020"
NMNV543,CZE,"2020","2020"
NMNV543,CZE,"2021","2022"
NMNV543,CZE,"2023","9999"
NMNV561,ENG,"2017","9999"
NMNV562,ENG,"2017","9999"
NMNV563,ENG,"2016","9999"
NMNV564,ENG,"2016","9999"
NMNV566,ENG,"2016","9999"
NMNV568,ENG,"2020","9999"
NMNV569,ENG,"2016","9999"
NMNV571,ENG,"2016","2021"
NMNV571,ENG,"2022","9999"
NMNV621,ENG,"2016","9999"
NMNV622,ENG,"2016","9999"
NMNV623,CZE,"2016","9999"
NMNV625,CZE,"2016","9999"
NMSA211,ENG,"2020","2021"
NMSA260,CZE,"2021","2021"
NMSA260,ENG,"2022","2022"
NMSA260,ENG,"2023","2023"
NMSA401,ENG,"2016","9999"
NMSA403,ENG,"2016","9999"
NMSA405,CZE,"2015","2021"
NMSA405,CZE,"2021","9999"
NMSA407,CZE,"2021","2021"
NMSA407,CZE,"2022","2022"
NMSA407,CZE,"2023","9999"
NMSA409,CZE,"2019","2021"
NMSA409,CZE,"2022","9999"
NMSA413,ENG,"2022","9999"
NMSA571,ENG,"2020","9999"
NMSA600,ENG,"2017","2021"
NMSA600,ENG,"2022","9999"
NMSA601,ENG,"2021","9999"
NMSA602,ENG,"2017","9999"
NMSA603,CZE,"2021","9999"
NMSA603,ENG,"2020","2020"
NMSA697,CZE,"2017","9999"
NMSA698,CZE,"2015","9999"
NMST412,CZE,"2022","9999"
NMST424,ENG,"2022","2022"
NMST424,ENG,"2023","9999"
NMST432,CZE,"2015","9999"
NMST434,CZE,"2020","2020"
NMST434,CZE,"2021","9999"
NMST440,CZE,"2018","2021"
NMST440,CZE,"2022","9999"
NMST442,ENG,"2018","9999"
NMST444,ENG,"2024","9999"
NMST511,CZE,"2022","9999"
NMST531,CZE,"2020","2021"
NMST532,CZE,"2015","2021"
NMST532,CZE,"2022","9999"
NMST539,CZE,"2019","2021"
NMST539,CZE,"2023","9999"
NMST543,CZE,"2016","2021"
NMST543,CZE,"2022","9999"
NMST545,CZE,"2022","9999"
NMST547,CZE,"2022","2022"
NMST547,CZE,"2024","9999"
NSWI130,ENG,"2020","2023"
NSWI130,ENG,"2024","9999"
NSWI131,CZE,"2017","9999"
NSWI134,ENG,"2017","9999"
NSWI141,ENG,"2019","9999"
NSWI142,ENG,"2013","2021"
NSWI142,ENG,"2022","9999"
NSWI143,ENG,"2016","9999"
NSWI144,ENG,"2018","9999"
NSWI145,ENG,"2018","9999"
NSWI153,ENG,"2013","2021"
NSWI153,ENG,"2022","9999"
NSWI154,ENG,"2020","9999"
NSWI155,ENG,"2019","9999"
NSWI156,ENG,"2019","9999"
NSWI158,ENG,"2015","2021"
NSWI158,ENG,"2022","9999"
NSWI159,ENG,"2019","9999"
NSWI161,ENG,"2016","9999"
NSWI166,ENG,"2022","9999"
NSWI170,ENG,"2019","9999"
NSWI176,ENG,"2019","9999"
NSWI177,ENG,"2019","9999"
NSWI200,ENG,"2023","9999"
NSZM003,ENG,"2017","9999"
NSZZ023,ENG,"2014","9999"
NSZZ024,ENG,"2014","9999"
NSZZ025,ENG,"2014","9999"
NSZZ026,ENG,"2014","9999"
NSZZ029,ENG,"2014","9999"
NTIN043,ENG,"2014","9999"
NTIN056,ENG,"2014","9999"
NTIN060,ENG,"2014","9999"
NTIN061,ENG,"2014","9999"
NTIN063,ENG,"2015","9999"
NTIN064,ENG,"2015","9999"
NTIN066,ENG,"2018","9999"
NTIN071,ENG,"2018","9999"
NTIN072,CZE,"2017","9999"
NTIN073,ENG,"2015","9999"
NTIN081,ENG,"2018","9999"
NTIN082,ENG,"2017","9999"
NTIN084,ENG,"2017","9999"
NTIN085,ENG,"2014","2020"
NTIN085,ENG,"2021","9999"
NTIN086,ENG,"2014","2022"
NTIN087,ENG,"2015","9999"
NTIN088,ENG,"2019","9999"
NTIN090,ENG,"2017","2023"
NTIN090,ENG,"2024","9999"
NTIN091,CZE,"2023","9999"
NTIN092,CZE,"2023","9999"
NTIN095,ENG,"2017","2021"
NTIN097,ENG,"2018","9999"
NTIN098,ENG,"2015","9999"
NTIN099,ENG,"2020","9999"
NTIN101,ENG,"2021","9999"
NTIN104,ENG,"2018","9999"
NTIN105,ENG,"2018","9999"
NTIN106,ENG,"2019","9999"
NTIN107,ENG,"2018","9999"
NTIN108,ENG,"2018","9999"
NTIN110,ENG,"2020","9999"
NTMF014,ENG,"2020","9999"
NTMF020,CZE,"2020","9999"
NTMF021,ENG,"2023","9999"
NTMF022,ENG,"2020","9999"
NTMF024,ENG,"2020","9999"
NTMF025,ENG,"2020","9999"
NTMF027,ENG,"2020","9999"
NTMF028,ENG,"2020","9999"
NTMF030,ENG,"2017","9999"
NTMF031,ENG,"2020","9999"
NTMF032,ENG,"2020","9999"
NTMF035,ENG,"2020","9999"
NTMF037,CZE,"2020","9999"
NTMF038,CZE,"2020","9999"
NTMF044,ENG,"2020","9999"
NTMF045,ENG,"2020","9999"
NTMF047,ENG,"2020","9999"
NTMF048,ENG,"2020","9999"
NTMF049,ENG,"2020","9999"
NTMF050,ENG,"2020","9999"
NTMF057,ENG,"2020","9999"
NTMF058,ENG,"2020","9999"
NTMF059,ENG,"2020","9999"
NTMF060,ENG,"2020","9999"
NTMF061,ENG,"2020","9999"
NTMF062,ENG,"2020","9999"
NTMF063,ENG,"2020","9999"
NTMF064,ENG,"2020","9999"
NTMF065,CZE,"2021","9999"
NTMF065,ENG,"2020","2020"
NTMF068,ENG,"2020","9999"
NTMF070,ENG,"2020","9999"
NTMF071,CZE,"2020","9999"
NTMF073,ENG,"2020","9999"
NTMF080,CZE,"2022","9999"
NTMF080,ENG,"2020","2021"
NTMF088,ENG,"2020","9999"
NPFL092,CZE,"2019","9999"
NPFL093,ENG,"2017","9999"
NPFL094,CZE,"2018","9999"
NPFL096,ENG,"2020","9999"
NPFL097,ENG,"2019","9999"
NPFL098,ENG,"2018","9999"
NPFL099,CZE,"2021","9999"
NPFL099,ENG,"2020","2020"
NPFL100,CZE,"2022","9999"
NPFL100,ENG,"2020","2021"
NPFL101,ENG,"2020","9999"
NPFL102,ENG,"2014","9999"
NPFL103,CZE,"2020","9999"
NPFL104,ENG,"2020","9999"
NPFL105,ENG,"2014","9999"
NPFL106,ENG,"2018","9999"
NPFL107,ENG,"2020","9999"
NPFL108,ENG,"2014","9999"
NPFL110,ENG,"2014","9999"
NPFL111,ENG,"2014","2020"
NPFL111,ENG,"2021","9999"
NPFL112,ENG,"2020","2020"
NPFL112,ENG,"2021","2021"
NPFL112,ENG,"2022","2022"
NPFL112,ENG,"2023","2023"
NPFL112,ENG,"2024","9999"
NPFL113,ENG,"2016","9999"
NPFL114,ENG,"2018","9999"
NPFL115,ENG,"2020","9999"
NPFL116,ENG,"2020","9999"
NPFL117,CZE,"2018","9999"
NPFL118,ENG,"2018","2021"
NPFL118,ENG,"2022","9999"
NPFL120,CZE,"2019","9999"
NPFL122,ENG,"2018","9999"
NPFL123,CZE,"2021","9999"
NPFL123,ENG,"2019","2020"
NPFL124,ENG,"2020","9999"
NPFL125,ENG,"2018","2023"
NPFL125,ENG,"2024","9999"
NPFL129,ENG,"2020","2022"
NPFL129,ENG,"2023","9999"
NPFL131,ENG,"2021","9999"
NPFL132,ENG,"2021","2022"
NPFL132,ENG,"2023","9999"
NPFL138,ENG,"2023","9999"
NPFL139,ENG,"2023","9999"
NPFX063,ENG,"2022","2022"
NPFX063,ENG,"2023","9999"
NPGR001,ENG,"2020","2020"
NPGR001,ENG,"2021","2021"
NPGR001,ENG,"2022","9999"
NPGR003,ENG,"2015","9999"
NPGR004,ENG,"2016","9999"
NPGR005,ENG,"2015","2021"
NPGR005,ENG,"2022","9999"
NPGR007,ENG,"2016","9999"
NPGR010,ENG,"2019","2020"
NPGR010,ENG,"2021","9999"
NPGR012,ENG,"2019","9999"
NPGR016,ENG,"2019","9999"
NPGR019,ENG,"2015","9999"
NPGR021,ENG,"2018","2021"
NPGR023,ENG,"2016","9999"
NPGR029,ENG,"2017","9999"
NPGR033,ENG,"2019","9999"
NPGR034,ENG,"2017","9999"
NPGR035,ENG,"2017","9999"
NPGR036,ENG,"2023","9999"
NPGR038,ENG,"2019","9999"
NPGR039,ENG,"2018","9999"
NPRF005,ENG,"2018","9999"
NPRF017,ENG,"2016","2020"
NPRF031,ENG,"2020","2023"
NPRF031,ENG,"2024","9999"
NPRF050,ENG,"2020","2020"
NPRG005,ENG,"2014","9999"
NPRG013,ENG,"2014","9999"
NPRG015,ENG,"2015","9999"
NPRG021,ENG,"2014","9999"
NPRG025,ENG,"2015","9999"
NPRG030,ENG,"2014","9999"
NPRG031,ENG,"2016","9999"
NPRG035,ENG,"2014","9999"
NPRG036,ENG,"2019","2020"
NPRG036,ENG,"2021","9999"
NPRG037,ENG,"2015","9999"
NPRG038,ENG,"2013","9999"
NPRG039,ENG,"2017","9999"
NPRG041,ENG,"2020","9999"
NPRG045,ENG,"2019","2021"
NPRG045,ENG,"2022","9999"
NPRG051,ENG,"2022","9999"
NPRG054,ENG,"2019","2023"
NPRG057,ENG,"2013","9999"
NPRG058,ENG,"2020","9999"
NPRG062,ENG,"2020","2021"
NPRG062,ENG,"2022","9999"
NPRG075,ENG,"2022","2023"
NPRG076,ENG,"2022","9999"
NPRG082,CZE,"2024","9999"
NSTP004,ENG,"2017","9999"
NSWE002,ENG,"2016","9999"
NSWI004,ENG,"2019","9999"
NSWI029,CZE,"2018","9999"
NSWI041,ENG,"2020","2020"
NSWI041,ENG,"2021","2021"
NSWI041,ENG,"2022","2022"
NSWI041,ENG,"2023","2023"
NSWI041,ENG,"2024","9999"
NSWI072,ENG,"2015","2021"
NSWI072,ENG,"2022","9999"
NSWI073,ENG,"2015","9999"
NSWI080,CZE,"2018","2021"
NSWI080,CZE,"2022","9999"
NSWI090,ENG,"2021","2021"
NSWI090,ENG,"2022","2022"
NSWI090,ENG,"2023","2023"
NSWI090,ENG,"2024","9999"
NSWI095,ENG,"2013","9999"
NSWI106,ENG,"2016","9999"
NSWI108,ENG,"2016","9999"
NSWI115,ENG,"2015","9999"
NSWI120,ENG,"2014","9999"
NAFY001,ENG,"2023","9999"
NAFY002,ENG,"2023","9999"
NAFY010,ENG,"2023","9999"
NAFY027,ENG,"2022","9999"
NAFY079,ENG,"2022","9999"
NAIL002,CZE,"2018","2022"
NAIL002,CZE,"2023","9999"
NAIL004,ENG,"2015","9999"
NAIL008,ENG,"2024","9999"
NAIL013,CZE,"2016","9999"
NAIL015,ENG,"2014","9999"
NAIL021,ENG,"2020","9999"
NAIL025,ENG,"2015","9999"
NAIL028,ENG,"2015","9999"
