"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"11275","32-UFAL","11320",Žabokrtský,Zdeněk,prof. Ing.,Ph.D.
"11278","32-SISAL","11320",Yaghob,Jakub,RNDr.,Ph.D.
"11279","32-IUUK","11320",Kantor,Ida,,"M.Sc., Ph.D."
"11282","32-KSVI","11320",Pergel,Martin,RNDr.,Ph.D.
"11286","32-IUUK","11320",Dvořák,Zdeněk,prof. Mgr.,Ph.D.
"11288","32-KDSS","11320",Kofroň,Jan,doc. RNDr.,Ph.D.
"11291","32-KAM","11320",Hladík,Milan,prof. Mgr.,Ph.D.
"11293","32-KA","11320",Barto,Libor,prof. Mgr.,Ph.D.
"11300","32-FUUK","11320",Veis,Martin,RNDr.,Ph.D.
"11302","32-KTIML","11320",Kučera,Petr,RNDr.,Ph.D.
"11303","32-FUUK","11320",Lipavský,Pavel,prof.,CSc.
"11306","32-IUUK","11320",Pangrác,Ondřej,RNDr.,Ph.D.
"11467","32-MUUK","11320",Souček,Vladimír,prof. RNDr.,DrSc.
"11469","32-MUUK","11320",Somberg,Petr,doc. RNDr.,Ph.D.
"11471","32-KFPP","11320",Sobotík,Pavel,doc. RNDr.,CSc.
"11476","32-KFNT","11320",Skrbek,Ladislav,prof. RNDr.,DrSc.
"11910","32-KA","11320",Marković,Petar,,
"11914","32-KDM","11320",Staněk,Jakub,RNDr.,Ph.D.
"13439","32-KFM","11320",Mathis,Kristián,prof. RNDr.,"Ph.D., DrSc."
"13232","32-UFAL","11320",Týnovský,Miroslav,Mgr.,
"11337","32-KFKL","11320",Kužel,Radomír,prof. RNDr.,CSc.
"12969","32-KFM","11320",Trojanová,Zuzanka,prof. RNDr.,DrSc.
"11347","32-KMF","11320",Biederman,Hynek,prof. RNDr.,DrSc.
"11354","32-IUUK","11320",Sgall,Jiří,prof. RNDr.,DrSc.
"11406","32-KAM","11320",Valtr,Pavel,doc. RNDr.,Dr.
"11412","32-KJP","11320",Vachalovská,Lenka,PhDr.,CSc.
"11420","32-KA","11320",Tůma,Jiří,doc. RNDr.,DrSc.
"11422","32-MUUK","11320",Trnková,Věra,prof. RNDr.,DrSc.
"12975","32-UFAL","11320",Hajič,Jan,prof. RNDr.,Dr.
"11239","32-KTV","11320",Jaroš,Tomáš,Mgr.,
