"POVINN","PKLAS"
NGEO009,PHYGEO
NGEO010,PHYGEO
NGEO011,PHYGEO
NGEO012,PHYGEO
NGEO013,PHYGEO
NGEO014,PHYGEO
NGEO015,PHYGEO
NGEO016,PHYGEO
NGEO017,PHYGEO
NGEO018,PHYGEO
NGEO019,PHYGEO
NGEO021,PHYGEO
NGEO022,PHYGEO
NGEO025,PHYGEO
NGEO026,PHYGEO
NGEO027,PHYGEO
NGEO028,PHYGEO
NGEO029,PHYGEO
NGEO030,PHYGEO
NGEO031,PHYGEO
NGEO032,PHYGEO
NGEO033,PHYGEO
NGEO034,PHYGEO
NGEO035,PHYGEO
NGEO036,PHYGEO
NGEO037,PHYGEO
NGEO038,PHYGEO
NGEO039,PHYGEO
NGEO041,PHYGEO
NGEO042,PHYGEO
NGEO043,PHYGEO
NGEO044,PHYGEO
NGEO045,PHYGEO
NGEO046,PHYGEO
NGEO048,PHYGEO
NGEO049,PHYGEO
NGEO050,PHYGEO
NGEO051,PHYGEO
NGEO052,PHYGEO
NGEO057,PHYGEO
NGEO059,PHYGEO
NGEO061,PHYGEO
NGEO063,PHYGEO
NGEO066,PHYGEO
NHIF079,PHYSOL
NHIF136,PHYSOL
NJAZ017,INFGEN
NJAZ017,MATGEN
NJAZ017,PHYGEN
NJAZ024,MATMAT
NJAZ039,INFGEN
NJAZ039,MATGEN
NJAZ039,PHYGEN
NJAZ040,INFGEN
NJAZ040,MATGEN
NJAZ040,PHYGEN
NJAZ041,INFGEN
NJAZ041,MATGEN
NJAZ041,PHYGEN
NJAZ042,INFGEN
NJAZ042,MATGEN
NJAZ042,PHYGEN
NJAZ043,INFGEN
NJAZ043,MATGEN
NJAZ043,PHYGEN
NJAZ044,INFGEN
NJAZ044,MATGEN
NJAZ044,PHYGEN
NJAZ045,INFGEN
NJAZ045,MATGEN
NJAZ045,PHYGEN
NJAZ046,INFGEN
NJAZ046,MATGEN
NJAZ046,PHYGEN
NJAZ047,INFGEN
NJAZ047,MATGEN
NJAZ047,PHYGEN
NJAZ048,INFGEN
NJAZ048,MATGEN
NJAZ048,PHYGEN
NJAZ049,INFGEN
NJAZ049,MATGEN
NJAZ049,PHYGEN
NJAZ050,INFGEN
NJAZ050,MATGEN
NJAZ050,PHYGEN
NJAZ051,INFGEN
NJAZ051,MATGEN
NJAZ051,PHYGEN
NJAZ052,INFGEN
NJAZ052,MATGEN
NJAZ052,PHYGEN
NJAZ053,INFGEN
NJAZ053,MATGEN
NJAZ053,PHYGEN
NJAZ054,INFGEN
NJAZ054,MATGEN
NJAZ054,PHYGEN
NJSF003,PHYNUC
NJSF004,PHYNUC
NJSF006,PHYNUC
NJSF007,PHYNUC
NJSF008,PHYNUC
NJSF009,PHYNUC
NJSF010,PHYNUC
NJSF011,PHYNUC
NJSF012,PHYNUC
NJSF014,PHYNUC
NJSF015,PHYNUC
NJSF020,PHYNUC
NJSF022,PHYNUC
NJSF024,PHYNUC
NJSF025,PHYNUC
NJSF026,PHYNUC
NJSF027,PHYNUC
NJSF030,PHYNUC
NJSF031,PHYNUC
NJSF034,PHYNUC
NJSF035,PHYNUC
NJSF037,PHYNUC
NJSF038,PHYNUC
NJSF039,PHYNUC
NJSF040,PHYNUC
NJSF041,PHYNUC
NJSF042,PHYNUC
NJSF043,PHYNUC
NJSF044,PHYNUC
NJSF045,PHYNUC
NJSF046,PHYNUC
NJSF048,PHYNUC
NJSF050,PHYNUC
NJSF051,PHYNUC
NJSF052,PHYNUC
NJSF053,PHYNUC
NJSF054,PHYNUC
NJSF055,PHYNUC
NJSF056,PHYNUC
NJSF057,PHYNUC
NJSF058,PHYNUC
NJSF059,PHYNUC
NJSF065,PHYNUC
NJSF070,PHYNUC
NJSF076,PHYNUC
NJSF077,PHYNUC
NJSF079,PHYNUC
NJSF085,PHYNUC
NJSF087,PHYNUC
NJSF088,PHYNUC
NJSF089,PHYNUC
NJSF090,PHYNUC
NJSF091,PHYNUC
NJSF092,PHYNUC
NJSF093,PHYNUC
NJSF097,PHYNUC
NJSF098,PHYNUC
NLTM001,INFTCS
NLTM010,INFTCS
