"PLAN_CODE","PLAN_YEAR","CODE","NAME_CZ","NAME_EN","SUBJECT_STATUS","SEMESTER_PRIMARY","SEMESTER_COUNT","SUBJECT_TYPE","WORKLOAD_PRIMARY1","WORKLOAD_SECONDARY1","WORKLOAD_PRIMARY2","WORKLOAD_SECONDARY2","CREDITS","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NISD23N,"2023",NSWI152,Vývoj cloudových aplikací,Cloud Application Development,V,"2","1",Z,"0","2",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0009",,,,
NISD23N,"2023",NSWI153,Pokročilé programování webových aplikací,Advanced Programming of Web Applications,V,"2","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0026",,,,
NISD23N,"2023",NSWI166,Úvod do doporučovacích systémů a uživatelských preferencí,Introduction to recommender systems and user preferences,V,"2","1",*,"2","1",,,4,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0010",,,,
NISD23N,"2023",NSWX153,Pokročilé programování webových aplikací,Advanced Programming of Web Applications,V,"2","1",*,"2","2",,,6,NSWI153,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0026",,,,
NISD23N,"2023",NSZZ023,Diplomová práce I,Diploma Thesis I,V,"3","1",Z,"0","4",,,6,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0001",,,,
NISD23N,"2023",NSZZ024,Diplomová práce II,Diploma Thesis II,V,"3","1",Z,"0","6",,,9,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0002",,,,
NISD23N,"2023",NSZZ025,Diplomová práce III,Diploma Thesis III,V,"3","1",Z,"0","10",,,15,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0003",,,,
NISD23N,"2023",NTIN043,Formální základy softwarového inženýrství,Formal Foundations of Software Engineering,V,"1","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0027",,,,
NISD23N,"2023",NTIN066,Datové struktury 1,Data Structures 1,V,"3","1",*,"2","2",,,6,,"5145",A,10,povinné předměty - obecná část,,"01/000/0001",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIN067,Datové struktury 2,Data Structures 2,V,"2","1",K,"2","0",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0011",,,,
NISD23N,"2023",NTIN090,Základy složitosti a vyčíslitelnosti,Introduction to Complexity and Computability,V,"1","1",*,"2","1",,,4,,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIX066,Datové struktury I,Data Structures I,V,"3","1",*,"2","1",,,5,NTIN066,"5145",A,10,povinné předměty - obecná část,,"01/000/0001",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIX090,Základy složitosti a vyčíslitelnosti,Introduction to Complexity and Computability,V,"1","1",*,"2","1",,,5,NTIN090,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
