"PLAN_CODE","PLAN_YEAR","CODE","NAME_CZ","NAME_EN","SUBJECT_STATUS","SEMESTER_PRIMARY","SEMESTER_COUNT","SUBJECT_TYPE","WORKLOAD_PRIMARY1","WORKLOAD_SECONDARY1","WORKLOAD_PRIMARY2","WORKLOAD_SECONDARY2","CREDITS","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIPVS19B,"2020",NPRG030,Programování 1,Programming 1,V,"1","1",Z,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIPVS19B,"2020",NPRG031,Programování 2,Programming 2,V,"2","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0008",,,,
NIPVS19B,"2020",NPRG035,Programování v jazyce C#,Programming in C# Language,V,"1","1",*,"2","2",,,5,,"81",B,5,Povinně volitelné předměty IPVS Bc. skupina I.,,"02/007/0004",,,,
NIPVS19B,"2020",NPRG036,Datové formáty,Data Formats,V,"2","1",*,"2","2",,,5,,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0004",,,,
NIPVS19B,"2020",NPRG038,Pokročilé programování v jazyce C#,Advanced C# Programming,V,"2","1",*,"2","2",,,5,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0005",,,,
NIPVS19B,"2020",NPRG041,Programování v C++,Programming in C++,V,"1","1",*,"2","2",,,5,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0005",,,,
NIPVS19B,"2020",NPRG042,Programování v paralelním prostředí,Programming in Parallel Environment,V,"2","1",*,"2","2",,,6,,"84",B,6,Povinně volitelné předměty IPVS Bc. skupina IV.,,"02/010/0003",,,,
NIPVS19B,"2020",NPRG043,Doporučené postupy v programování,Recommended Programming Practices,V,"2","1",F,"2","2",,,5,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0010",,,,
NIPVS19B,"2020",NPRG045,Ročníkový projekt,Individual Software Project,V,"3","1",Z,"0","1",,,4,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0019",,,,
NIPVS19B,"2020",NPRG051,Pokročilé programování v C++,Advanced C++ Programming,V,"2","1",*,"2","2",,,5,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0001",,,,
NIPVS19B,"2020",NPRG054,Vývoj vysoce výkonného software,High Performance Software Development,V,"2","1",*,"2","2",,,6,,"84",B,6,Povinně volitelné předměty IPVS Bc. skupina IV.,,"02/010/0002",,,,
NIPVS19B,"2020",NPRG056,Programování mobilních zařízení,Mobile Devices Programming,V,"1","1",Z,"0","2",,,3,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0009",,,,
